Certificate,N_s,N_u,Result,Benchmark_file,seed,XD,XI,XU,XG,N_Data,Neurons,Activations,Ctrl_Neurons,Ctrl_Activations,Alt_Neurons,Alt_Activations,Factors,LLO,Symmetric_Belt,Time_Domain,Verifier,Loops,Total_Time,Learner_Time,Translator_Time,Verifier_Time,Consolidator_Time
SAFETY,2,0,True,Barr1,169,"Rectangle([-2, -2], [2, 2])","Rectangle([0, 1], [1, 2])",Barr1Unsafe,,1500,[10],[$\varphi_{1}$],,,,,NONE,False,True,CONTINUOUS,DREAL,1,0.6258853810004439,0.6203803709995555,0.0006078259993955726,0.0041236389997720835,0
SAFETY,2,0,True,Barr1,170,"Rectangle([-2, -2], [2, 2])","Rectangle([0, 1], [1, 2])",Barr1Unsafe,,1500,[10],[$\varphi_{1}$],,,,,NONE,False,True,CONTINUOUS,DREAL,1,0.31564304499988793,0.30899389700061874,0.0006713719994877465,0.00536571299926436,0
SAFETY,2,0,True,Barr1,171,"Rectangle([-2, -2], [2, 2])","Rectangle([0, 1], [1, 2])",Barr1Unsafe,,1500,[10],[$\varphi_{1}$],,,,,NONE,False,True,CONTINUOUS,DREAL,1,0.08705981399998564,0.07986429199991107,0.0006131609998192289,0.006040697000571527,0
SAFETY,2,0,True,Barr1,172,"Rectangle([-2, -2], [2, 2])","Rectangle([0, 1], [1, 2])",Barr1Unsafe,,1500,[10],[$\varphi_{1}$],,,,,NONE,False,True,CONTINUOUS,DREAL,1,0.260760707999907,0.2559027839997725,0.0005066769999757526,0.0036930420001226594,0
SAFETY,2,0,True,Barr1,173,"Rectangle([-2, -2], [2, 2])","Rectangle([0, 1], [1, 2])",Barr1Unsafe,,1500,[10],[$\varphi_{1}$],,,,,NONE,False,True,CONTINUOUS,DREAL,1,0.23902951099989878,0.23492073099987465,0.0005178310002520448,0.0031115100000533857,0
SAFETY,2,0,True,Barr1,174,"Rectangle([-2, -2], [2, 2])","Rectangle([0, 1], [1, 2])",Barr1Unsafe,,1500,[10],[$\varphi_{1}$],,,,,NONE,False,True,CONTINUOUS,DREAL,1,0.41801800200028083,0.409744507999676,0.0005085519997010124,0.0072682809995967546,0
SAFETY,2,0,True,Barr1,175,"Rectangle([-2, -2], [2, 2])","Rectangle([0, 1], [1, 2])",Barr1Unsafe,,1521,[10],[$\varphi_{1}$],,,,,NONE,False,True,CONTINUOUS,DREAL,2,0.15977613699942594,0.15024853300019458,0.001003100000161794,0.007733407999694464,0
SAFETY,2,0,True,Barr1,176,"Rectangle([-2, -2], [2, 2])","Rectangle([0, 1], [1, 2])",Barr1Unsafe,,1500,[10],[$\varphi_{1}$],,,,,NONE,False,True,CONTINUOUS,DREAL,1,0.02393237600063003,0.019000424000296334,0.00047180099954857724,0.00402079700052127,0
SAFETY,2,0,True,Barr1,177,"Rectangle([-2, -2], [2, 2])","Rectangle([0, 1], [1, 2])",Barr1Unsafe,,1500,[10],[$\varphi_{1}$],,,,,NONE,False,True,CONTINUOUS,DREAL,1,0.11699711700020998,0.11146799699963594,0.0005230540000411565,0.004479825000089477,0
SAFETY,2,0,True,Barr1,178,"Rectangle([-2, -2], [2, 2])","Rectangle([0, 1], [1, 2])",Barr1Unsafe,,1500,[10],[$\varphi_{1}$],,,,,NONE,False,True,CONTINUOUS,DREAL,1,0.46380981099991914,0.4577313210002103,0.000509260000399081,0.005094954000014695,0
SAFETY,2,0,True,Barr3,169,"Rectangle([-3, -2], [2.5, 1])",Barr3Init,Barr3Unsafe,,1539,"[10, 10]","[$sigmoid$,$sigmoid$]",,,,,NONE,False,False,CONTINUOUS,DREAL,2,4.613782299000377,1.366996162999385,0.009995371000513842,3.233309422000275,0.0024589380000179517
SAFETY,2,0,True,Barr3,170,"Rectangle([-3, -2], [2.5, 1])",Barr3Init,Barr3Unsafe,,1651,"[10, 10]","[$sigmoid$,$sigmoid$]",,,,,NONE,False,False,CONTINUOUS,DREAL,6,9.287112668999725,3.1445090240003992,0.031248161001713015,6.09478619499987,0.013149033001354837
SAFETY,2,0,True,Barr3,171,"Rectangle([-3, -2], [2.5, 1])",Barr3Init,Barr3Unsafe,,1516,"[10, 10]","[$sigmoid$,$sigmoid$]",,,,,NONE,False,False,CONTINUOUS,DREAL,1,3.808344369000224,0.9575962899998558,0.0037423069998112624,2.846434715000214,0
SAFETY,2,0,True,Barr3,172,"Rectangle([-3, -2], [2.5, 1])",Barr3Init,Barr3Unsafe,,1719,"[10, 10]","[$sigmoid$,$sigmoid$]",,,,,NONE,False,False,CONTINUOUS,DREAL,9,22.500750794999476,4.172883740999168,0.04247496600055456,18.259188992999043,0.020100262002415548
SAFETY,2,0,True,Barr3,173,"Rectangle([-3, -2], [2.5, 1])",Barr3Init,Barr3Unsafe,,1623,"[10, 10]","[$sigmoid$,$sigmoid$]",,,,,NONE,False,False,CONTINUOUS,DREAL,5,6.8082284510001045,3.7196003570006724,0.030477232000521326,3.05228727299982,0.0025155889998131897
SAFETY,2,0,True,Barr3,174,"Rectangle([-3, -2], [2.5, 1])",Barr3Init,Barr3Unsafe,,1629,"[10, 10]","[$sigmoid$,$sigmoid$]",,,,,NONE,False,False,CONTINUOUS,DREAL,6,10.618993062999834,3.3857415620013853,0.026967854001668456,7.19026838300033,0.012311626000155229
SAFETY,2,0,True,Barr3,175,"Rectangle([-3, -2], [2.5, 1])",Barr3Init,Barr3Unsafe,,1828,"[10, 10]","[$sigmoid$,$sigmoid$]",,,,,NONE,False,False,CONTINUOUS,DREAL,15,26.42929136099974,9.281042272001287,0.07352090799940925,17.03133916799834,0.03461116400194442
SAFETY,2,0,True,Barr3,176,"Rectangle([-3, -2], [2.5, 1])",Barr3Init,Barr3Unsafe,,1991,"[10, 10]","[$sigmoid$,$sigmoid$]",,,,,NONE,False,False,CONTINUOUS,DREAL,21,30.626023521000207,7.823717527000554,0.09121861200037529,22.657045865000327,0.04297972100084735
SAFETY,2,0,True,Barr3,177,"Rectangle([-3, -2], [2.5, 1])",Barr3Init,Barr3Unsafe,,1647,"[10, 10]","[$sigmoid$,$sigmoid$]",,,,,NONE,False,False,CONTINUOUS,DREAL,6,13.635494999000002,3.830298380999011,0.030939788000068802,9.739442674000202,0.031052380998517037
SAFETY,2,0,True,Barr3,178,"Rectangle([-3, -2], [2.5, 1])",Barr3Init,Barr3Unsafe,,1604,"[10, 10]","[$sigmoid$,$sigmoid$]",,,,,NONE,False,False,CONTINUOUS,DREAL,5,13.088304595999944,5.534011090001513,0.023789875001057226,7.522765361999518,0.004883402999439568
